crop,disease,causes,remedial_measures
potato,early blight,"Early blight, caused by the fungus Alternaria solani, thrives in warm, humid conditions. It spreads through infected seed potatoes, plant debris, and wind-driven rain.","Rotate crops with non-solanaceous plants. Apply fungicides preventatively, especially during periods of high humidity. Remove and destroy infected plant material promptly."
potato,late blight,"Late blight, caused by the oomycete Phytophthora infestans, spreads rapidly in cool, moist conditions. It thrives during periods of high humidity and can overwinter in infected tubers.",Plant certified disease-free seed potatoes. Apply fungicides preventatively and maintain good airflow within the crop canopy. Remove and destroy infected plant material promptly.
squash,powdery mildew,"Powdery mildew, caused by various fungi including Podosphaera xanthii, thrives in warm, dry conditions. It spreads through airborne spores and can overwinter on crop debris.","Apply fungicides preventatively, especially during periods of high humidity. Plant resistant squash varieties. Remove and destroy infected plant material promptly."
strawberry,leaf scorch,"Leaf scorch, caused by the fungus Diplocarpon earlianum, spreads through splashing water and infected plant debris. It thrives in warm, humid conditions.",Apply fungicides preventatively during periods of high disease pressure. Practice good sanitation by removing and destroying infected leaves and debris. Plant disease-resistant strawberry cultivars.
tomato,bacterial spot,"Bacterial spot, caused by Xanthomonas spp., spreads through contaminated seeds, plant debris, and splashing water. Warm, humid conditions favor its development.",Plant disease-free seeds and transplants. Apply copper-based bactericides preventatively and rotate with non-susceptible crops. Remove and destroy infected plants promptly.
tomato,early blight,"Early blight, caused by the fungus Alternaria solani, spreads through infected plant debris, contaminated seeds, and wind-driven rain. Warm, humid conditions favor its development.","Rotate tomato crops with non-solanaceous plants. Apply fungicides preventatively, especially during periods of high humidity. Remove and destroy infected plant material promptly."
tomato,late blight,"Late blight, caused by the oomycete Phytophthora infestans, spreads rapidly in cool, moist conditions. It thrives during periods of high humidity and can overwinter in infected plant debris.",Plant certified disease-free tomato transplants. Apply fungicides preventatively and maintain good airflow within the crop canopy. Remove and destroy infected plant material promptly.
tomato,leaf mold,"Leaf mold, caused by the fungus Fulvia fulva (formerly Cladosporium fulvum), thrives in warm, humid conditions. It spreads through airborne spores and can overwinter on crop debris.","Provide good ventilation and spacing between tomato plants. Apply fungicides preventatively, especially during periods of high humidity. Remove and destroy infected plant material promptly."
tomato,septoria leaf spot,"Septoria leaf spot, caused by the fungus Septoria lycopersici, spreads through splashing water and infected plant debris. Warm, humid conditions favor its development.","Apply fungicides preventatively, especially during periods of high disease pressure. Practice good sanitation by removing and destroying infected leaves and debris. Rotate tomato crops with non-solanaceous plants."
tomato,spider mites two-spotted spider mite,"Two-spotted spider mites, including Tetranychus urticae, thrive in hot, dry conditions. They feed on plant sap, causing stippling and webbing on leaves.","Apply insecticidal soaps or miticides to control spider mite populations. Maintain adequate humidity levels and avoid over-fertilization, which can exacerbate mite infestations. Remove and destroy heavily infested plants."
tomato,target spot,"Target spot, caused by the fungus Corynespora cassiicola, spreads through wind-dispersed spores and infected plant debris. Warm, humid conditions favor its development.","Apply fungicides preventatively, especially during periods of high humidity. Practice good sanitation by removing and destroying infected leaves and debris. Rotate tomato crops with non-solanaceous plants."
tomato,tomato yellow leaf curl virus,"Tomato yellow leaf curl virus is transmitted by whiteflies (Bemisia tabaci) and affects tomato plants, causing yellowing, curling, and stunting of leaves.",Use insecticides to control whitefly populations. Plant virus-resistant tomato varieties. Remove and destroy infected plants to prevent further spread.
tomato,tomato mosaic virus,"Tomato mosaic virus is transmitted through contaminated seed, plant debris, and mechanical means. It causes mottling, distortion, and stunting of tomato plants.","Plant disease-free seeds and transplants. Control aphid and thrips populations, which can spread the virus. Remove and destroy infected plants promptly to prevent virus spread."
